CONTAINER ID   NAME                             CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O     PIDS
4168b1e5475e   peer0.org1.example.com           1.51%     24.68MiB / 15.63GiB   0.15%     71.7kB / 33kB     0B / 180kB   14
0a8da407b1db   orderer0.example.com             0.10%     16.19MiB / 15.63GiB   0.10%     15.2kB / 24.2kB   0B / 123kB   13
7814296b38fa   ca.org1.example.com              0.00%     14.57MiB / 15.63GiB   0.09%     2.87kB / 5.93kB   0B / 446kB   9
8d5a9c9700ea   couchdb.peer0.org2.example.com   0.70%     43.69MiB / 15.63GiB   0.27%     23.8kB / 22kB     0B / 762kB   45
412d4e23e7ac   ca.org2.example.com              0.00%     12.46MiB / 15.63GiB   0.08%     3.33kB / 5.89kB   0B / 446kB   9
d39520ce6c9f   couchdb.peer0.org1.example.com   0.64%     43.38MiB / 15.63GiB   0.27%     24.2kB / 22.7kB   0B / 762kB   45
CONTAINER ID   NAME                             CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O    PIDS
26c66163cb76   peer0.org2.example.com           2.35%     98.05MiB / 15.63GiB   0.61%     70.7kB / 32.9kB   0B / 180kB   14
4168b1e5475e   peer0.org1.example.com           2.44%     74.36MiB / 15.63GiB   0.46%     71.8kB / 33.1kB   0B / 180kB   14
0a8da407b1db   orderer0.example.com             0.07%     16.19MiB / 15.63GiB   0.10%     15.2kB / 24.2kB   0B / 123kB   13
7814296b38fa   ca.org1.example.com              0.00%     14.57MiB / 15.63GiB   0.09%     2.87kB / 5.93kB   0B / 446kB   9
8d5a9c9700ea   couchdb.peer0.org2.example.com   0.54%     43.69MiB / 15.63GiB   0.27%     23.9kB / 22.1kB   0B / 762kB   45
412d4e23e7ac   ca.org2.example.com              0.00%     12.46MiB / 15.63GiB   0.08%     3.33kB / 5.89kB   0B / 446kB   9
d39520ce6c9f   couchdb.peer0.org1.example.com   0.61%     43.38MiB / 15.63GiB   0.27%     24.2kB / 22.7kB   0B / 762kB   45
               --                               0.00%     0B / 0B               0.00%     0B / 0B           0B / 0B      0
CONTAINER ID   NAME                                    CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O        PIDS
52d185994d4c   dev-peer0.org2.example.com-marbles-v0   0.01%     9.348MiB / 2GiB       0.46%     3.91kB / 2.36kB   0B / 0B          10
89ef76708235   dev-peer0.org1.example.com-marbles-v0   0.01%     9.309MiB / 2GiB       0.45%     3.82kB / 2.45kB   0B / 0B          10
26c66163cb76   peer0.org2.example.com                  1.81%     98.11MiB / 15.63GiB   0.61%     89.4kB / 44.4kB   0B / 205kB       14
4168b1e5475e   peer0.org1.example.com                  1.49%     74.55MiB / 15.63GiB   0.47%     93kB / 46.3kB     0B / 205kB       14
0a8da407b1db   orderer0.example.com                    0.13%     16.2MiB / 15.63GiB    0.10%     21kB / 36.6kB     0B / 143kB       13
7814296b38fa   ca.org1.example.com                     0.00%     14.57MiB / 15.63GiB   0.09%     2.95kB / 5.93kB   0B / 446kB       9
8d5a9c9700ea   couchdb.peer0.org2.example.com          1.33%     44.79MiB / 15.63GiB   0.28%     29.1kB / 29.4kB   0B / 942kB       45
412d4e23e7ac   ca.org2.example.com                     0.00%     12.46MiB / 15.63GiB   0.08%     3.41kB / 5.89kB   0B / 446kB       9
d39520ce6c9f   couchdb.peer0.org1.example.com          0.85%     44.12MiB / 15.63GiB   0.28%     29.8kB / 31.3kB   0B / 942kB       45
0c32f026342b   upbeat_jemison                          180.35%   107MiB / 15.63GiB     0.67%     646B / 0B         53.2kB / 4.1kB   35
8ff77badd24c   practical_mcclintock                    206.84%   92.44MiB / 15.63GiB   0.58%     626B / 0B         0B / 4.1kB       29
CONTAINER ID   NAME                                    CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O        PIDS
8ff77badd24c   practical_mcclintock                    201.10%   91.16MiB / 15.63GiB   0.57%     626B / 0B         0B / 160kB       29
0c32f026342b   upbeat_jemison                          188.39%   68.69MiB / 15.63GiB   0.43%     736B / 0B         53.2kB / 160kB   30
52d185994d4c   dev-peer0.org2.example.com-marbles-v0   0.00%     9.348MiB / 2GiB       0.46%     4.03kB / 2.4kB    0B / 0B          10
89ef76708235   dev-peer0.org1.example.com-marbles-v0   0.00%     9.309MiB / 2GiB       0.45%     3.89kB / 2.45kB   0B / 0B          10
26c66163cb76   peer0.org2.example.com                  1.44%     98.11MiB / 15.63GiB   0.61%     89.5kB / 44.5kB   0B / 205kB       14
4168b1e5475e   peer0.org1.example.com                  1.63%     74.55MiB / 15.63GiB   0.47%     93.1kB / 46.3kB   0B / 205kB       14
0a8da407b1db   orderer0.example.com                    0.15%     16.2MiB / 15.63GiB    0.10%     21.1kB / 36.6kB   0B / 143kB       13
7814296b38fa   ca.org1.example.com                     0.00%     14.57MiB / 15.63GiB   0.09%     3.02kB / 5.93kB   0B / 446kB       9
8d5a9c9700ea   couchdb.peer0.org2.example.com          1.08%     44.8MiB / 15.63GiB    0.28%     29.1kB / 29.4kB   0B / 942kB       45
412d4e23e7ac   ca.org2.example.com                     0.00%     12.46MiB / 15.63GiB   0.08%     3.41kB / 5.89kB   0B / 446kB       9
d39520ce6c9f   couchdb.peer0.org1.example.com          0.50%     44.12MiB / 15.63GiB   0.28%     29.8kB / 31.3kB   0B / 942kB       45
CONTAINER ID   NAME                                    CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
8ff77badd24c   practical_mcclintock                    192.31%   169.3MiB / 15.63GiB   1.06%     696B / 0B         0B / 15.6MB       36
0c32f026342b   upbeat_jemison                          194.70%   169.7MiB / 15.63GiB   1.06%     806B / 0B         53.2kB / 16.2MB   37
52d185994d4c   dev-peer0.org2.example.com-marbles-v0   0.00%     9.348MiB / 2GiB       0.46%     4.03kB / 2.4kB    0B / 0B           10
89ef76708235   dev-peer0.org1.example.com-marbles-v0   0.00%     9.309MiB / 2GiB       0.45%     3.89kB / 2.45kB   0B / 0B           10
26c66163cb76   peer0.org2.example.com                  1.29%     98.11MiB / 15.63GiB   0.61%     89.5kB / 44.5kB   0B / 205kB        14
4168b1e5475e   peer0.org1.example.com                  1.63%     74.55MiB / 15.63GiB   0.47%     93.1kB / 46.3kB   0B / 205kB        14
0a8da407b1db   orderer0.example.com                    0.17%     16.2MiB / 15.63GiB    0.10%     21.1kB / 36.6kB   0B / 143kB        13
7814296b38fa   ca.org1.example.com                     0.00%     14.57MiB / 15.63GiB   0.09%     3.02kB / 5.93kB   0B / 446kB        9
8d5a9c9700ea   couchdb.peer0.org2.example.com          2.43%     44.84MiB / 15.63GiB   0.28%     29.1kB / 29.4kB   0B / 942kB        45
412d4e23e7ac   ca.org2.example.com                     0.00%     12.46MiB / 15.63GiB   0.08%     3.48kB / 5.89kB   0B / 446kB        9
d39520ce6c9f   couchdb.peer0.org1.example.com          0.69%     44.2MiB / 15.63GiB    0.28%     29.9kB / 31.3kB   0B / 942kB        45
CONTAINER ID   NAME                                    CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
8ff77badd24c   practical_mcclintock                    186.22%   152.4MiB / 15.63GiB   0.95%     766B / 0B         0B / 15.6MB       37
0c32f026342b   upbeat_jemison                          194.42%   152.2MiB / 15.63GiB   0.95%     876B / 0B         53.2kB / 16.2MB   36
52d185994d4c   dev-peer0.org2.example.com-marbles-v0   0.00%     9.348MiB / 2GiB       0.46%     4.1kB / 2.4kB     0B / 0B           10
89ef76708235   dev-peer0.org1.example.com-marbles-v0   0.00%     9.309MiB / 2GiB       0.45%     3.96kB / 2.45kB   0B / 0B           10
26c66163cb76   peer0.org2.example.com                  1.40%     98.11MiB / 15.63GiB   0.61%     89.5kB / 44.5kB   0B / 205kB        14
4168b1e5475e   peer0.org1.example.com                  2.05%     74.55MiB / 15.63GiB   0.47%     93.1kB / 46.3kB   0B / 205kB        14
0a8da407b1db   orderer0.example.com                    0.14%     16.2MiB / 15.63GiB    0.10%     21.1kB / 36.6kB   0B / 143kB        13
7814296b38fa   ca.org1.example.com                     0.00%     14.57MiB / 15.63GiB   0.09%     3.02kB / 5.93kB   0B / 446kB        9
8d5a9c9700ea   couchdb.peer0.org2.example.com          3.42%     44.86MiB / 15.63GiB   0.28%     29.1kB / 29.4kB   0B / 942kB        45
412d4e23e7ac   ca.org2.example.com                     0.00%     12.46MiB / 15.63GiB   0.08%     3.48kB / 5.89kB   0B / 446kB        9
d39520ce6c9f   couchdb.peer0.org1.example.com          4.57%     44.12MiB / 15.63GiB   0.28%     29.9kB / 31.3kB   0B / 942kB        45
CONTAINER ID   NAME                                    CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O        PIDS
8ff77badd24c   practical_mcclintock                    184.79%   88.36MiB / 15.63GiB   0.55%     766B / 0B         0B / 15.6MB      25
0c32f026342b   upbeat_jemison                          204.62%   74.79MiB / 15.63GiB   0.47%     876B / 0B         119kB / 16.2MB   25
52d185994d4c   dev-peer0.org2.example.com-marbles-v0   0.00%     9.348MiB / 2GiB       0.46%     4.16kB / 2.47kB   0B / 0B          10
89ef76708235   dev-peer0.org1.example.com-marbles-v0   0.00%     9.309MiB / 2GiB       0.45%     4.03kB / 2.52kB   0B / 0B          10
26c66163cb76   peer0.org2.example.com                  1.69%     98.11MiB / 15.63GiB   0.61%     89.8kB / 44.7kB   0B / 205kB       14
4168b1e5475e   peer0.org1.example.com                  1.60%     74.55MiB / 15.63GiB   0.47%     93.4kB / 46.6kB   0B / 205kB       14
0a8da407b1db   orderer0.example.com                    0.07%     16.2MiB / 15.63GiB    0.10%     21.3kB / 36.8kB   0B / 143kB       13
7814296b38fa   ca.org1.example.com                     0.00%     14.57MiB / 15.63GiB   0.09%     3.02kB / 5.93kB   0B / 446kB       9
8d5a9c9700ea   couchdb.peer0.org2.example.com          0.40%     44.86MiB / 15.63GiB   0.28%     29.3kB / 29.5kB   0B / 942kB       45
412d4e23e7ac   ca.org2.example.com                     0.01%     12.46MiB / 15.63GiB   0.08%     3.48kB / 5.89kB   0B / 446kB       9
d39520ce6c9f   couchdb.peer0.org1.example.com          0.60%     44.14MiB / 15.63GiB   0.28%     30.1kB / 31.5kB   0B / 942kB       45
CONTAINER ID   NAME                                    CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O        PIDS
8ff77badd24c   practical_mcclintock                    163.04%   133.5MiB / 15.63GiB   0.83%     766B / 0B         0B / 15.6MB      18
0c32f026342b   upbeat_jemison                          180.00%   71.57MiB / 15.63GiB   0.45%     876B / 0B         119kB / 16.2MB   18
52d185994d4c   dev-peer0.org2.example.com-marbles-v0   0.00%     9.348MiB / 2GiB       0.46%     4.16kB / 2.47kB   0B / 0B          10
89ef76708235   dev-peer0.org1.example.com-marbles-v0   0.00%     9.309MiB / 2GiB       0.45%     4.03kB / 2.52kB   0B / 0B          10
26c66163cb76   peer0.org2.example.com                  1.56%     98.11MiB / 15.63GiB   0.61%     89.8kB / 44.7kB   0B / 205kB       14
4168b1e5475e   peer0.org1.example.com                  1.56%     74.56MiB / 15.63GiB   0.47%     93.4kB / 46.6kB   0B / 205kB       14
0a8da407b1db   orderer0.example.com                    0.10%     16.2MiB / 15.63GiB    0.10%     21.3kB / 36.8kB   0B / 143kB       13
7814296b38fa   ca.org1.example.com                     0.00%     14.57MiB / 15.63GiB   0.09%     3.02kB / 5.93kB   0B / 446kB       9
8d5a9c9700ea   couchdb.peer0.org2.example.com          0.85%     44.96MiB / 15.63GiB   0.28%     29.3kB / 29.5kB   0B / 942kB       45
412d4e23e7ac   ca.org2.example.com                     0.00%     12.46MiB / 15.63GiB   0.08%     3.48kB / 5.89kB   0B / 446kB       9
d39520ce6c9f   couchdb.peer0.org1.example.com          0.62%     44.17MiB / 15.63GiB   0.28%     30.1kB / 31.5kB   0B / 942kB       45
CONTAINER ID   NAME                                    CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O    PIDS
52d185994d4c   dev-peer0.org2.example.com-marbles-v0   0.00%     9.348MiB / 2GiB       0.46%     4.16kB / 2.47kB   0B / 0B      10
89ef76708235   dev-peer0.org1.example.com-marbles-v0   0.00%     9.309MiB / 2GiB       0.45%     4.03kB / 2.52kB   0B / 0B      10
26c66163cb76   peer0.org2.example.com                  1.46%     98.11MiB / 15.63GiB   0.61%     89.8kB / 44.7kB   0B / 205kB   14
4168b1e5475e   peer0.org1.example.com                  1.61%     74.56MiB / 15.63GiB   0.47%     93.4kB / 46.6kB   0B / 205kB   14
0a8da407b1db   orderer0.example.com                    0.07%     16.2MiB / 15.63GiB    0.10%     21.3kB / 36.8kB   0B / 143kB   13
7814296b38fa   ca.org1.example.com                     0.00%     14.57MiB / 15.63GiB   0.09%     3.02kB / 5.93kB   0B / 446kB   9
8d5a9c9700ea   couchdb.peer0.org2.example.com          0.86%     44.98MiB / 15.63GiB   0.28%     29.3kB / 29.5kB   0B / 942kB   45
412d4e23e7ac   ca.org2.example.com                     0.00%     12.46MiB / 15.63GiB   0.08%     3.48kB / 5.89kB   0B / 446kB   9
d39520ce6c9f   couchdb.peer0.org1.example.com          0.61%     44.18MiB / 15.63GiB   0.28%     30.1kB / 31.5kB   0B / 942kB   45
CONTAINER ID   NAME                                    CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O    PIDS
52d185994d4c   dev-peer0.org2.example.com-marbles-v0   0.00%     9.348MiB / 2GiB       0.46%     4.3kB / 2.53kB    0B / 0B      10
89ef76708235   dev-peer0.org1.example.com-marbles-v0   0.00%     9.309MiB / 2GiB       0.45%     4.09kB / 2.59kB   0B / 0B      10
26c66163cb76   peer0.org2.example.com                  2.29%     139.8MiB / 15.63GiB   0.87%     90kB / 44.9kB     0B / 205kB   14
4168b1e5475e   peer0.org1.example.com                  2.37%     116.3MiB / 15.63GiB   0.73%     93.6kB / 46.8kB   0B / 205kB   14
0a8da407b1db   orderer0.example.com                    0.08%     16.2MiB / 15.63GiB    0.10%     21.4kB / 36.9kB   0B / 143kB   13
